,qw,qx,qy,qz
0,-0.20627472808948427,0.7914175937201658,-0.0613200136622427,-0.5721440245482377
0,-0.21285447011572456,0.7858845578497783,-0.04041089927727026,-0.5791764804484165
0,-0.2211380522805111,0.7791732979452677,-0.015559583587025194,-0.5862975634959398
0,-0.23439296069132387,0.7704115998943285,0.009383620437192952,-0.5928219415592741
0,-0.2544278188960665,0.7576719043089994,0.030555296293022418,-0.6002217459081355
0,-0.2788622796182023,0.7395427011507874,0.04378200008051796,-0.6110610105788835
0,-0.29773067966808797,0.7223396899728481,0.050562574844207245,-0.6221135271792698
0,-0.33591665975248863,0.6776098201047538,0.038169330156842665,-0.6531064473986702
0,-0.35236949920687494,0.6477018722890968,0.01882042861455751,-0.675250925307518
0,-0.3589355284101464,0.6281053547081129,0.00478161838292032,-0.6903811164549367
0,-0.3630761889496524,0.6040200729949758,-0.013893817395720391,-0.7093253092024243
0,-0.36120524347954386,0.5811138791619732,-0.03130405815287924,-0.7285996757282893
0,-0.3529224798173802,0.5653340792543156,-0.04493100676092796,-0.7441937292833605
0,-0.3421756921645695,0.5545531856668436,-0.05683083741286274,-0.7564104810732105
0,-0.32649908935965993,0.5479641726861875,-0.06752987030290801,-0.7671853274903836
0,-0.3043882639686202,0.5483041217800754,-0.07591572075504141,-0.775207828997742
0,-0.27890521904429594,0.5554662604387586,-0.08500250827419234,-0.7787449427708217
0,-0.25284328514657306,0.5666115751100831,-0.09374006932157555,-0.7786105544565561
0,-0.22622774634592696,0.580224397402289,-0.09962493094070429,-0.7760383550942913
0,-0.2006488556391194,0.5953892810871422,-0.1019096503927766,-0.7712756082322778
0,-0.17742769466892677,0.6117422622216921,-0.1001231666251691,-0.7643730563548832
0,-0.15676830655719978,0.6287294236331317,-0.09423502122056233,-0.7558060403917781
0,-0.13925136999068133,0.645198611821699,-0.08468387182605587,-0.7464291320089397
0,-0.12581717474651988,0.6606585665201992,-0.074300002354432,-0.7363285996567095
0,-0.11437526787017463,0.6748830839031175,-0.06309859330925406,-0.7262710848460353
0,-0.10397410077178153,0.6882719988902621,-0.0518038224814486,-0.7160917580091346
0,-0.09465792224024976,0.6997880730931343,-0.04128282834063142,-0.7068467009175009
0,-0.08529246611506859,0.7118260798580021,-0.030488686291082475,-0.6964906799564824
0,-0.07743200053496335,0.7203683147103593,-0.022685311849757236,-0.6888825393931752
0,-0.07048975218341456,0.7291562575216832,-0.014995194039706141,-0.6805420568266192
0,-0.06572906479163038,0.7334779376141527,-0.009091417890081683,-0.6764666667291559
0,-0.06494579902990147,0.7341867788323652,-0.0007754165292189711,-0.675833718976295
0,-0.06492754037732273,0.7318818495237548,0.005391421899800092,-0.6783098889210871
0,-0.06910386862136231,0.7245894687989146,0.012952387044877108,-0.685585146219715
0,-0.07734746347081478,0.7111837597185784,0.019417132159294227,-0.6984683276898723
0,-0.08698317949969574,0.6944917844253383,0.023750216385072527,-0.7138284213110987
0,-0.09705775682431378,0.6710964940985079,0.03564996141066549,-0.7341242181677035
0,-0.10678189922276009,0.64831980930646,0.05183949330054063,-0.752058320739528
0,-0.12361535402519633,0.6244191565424199,0.06126927113572806,-0.7688081929887162
0,-0.1403530824489262,0.6035134830081272,0.06725584924567955,-0.7820160732470441
0,-0.15197288267095438,0.5901721216166309,0.07886447172864502,-0.788911595109469
0,-0.1641061313890173,0.5863681785829622,0.09469313318971996,-0.7875752327952829
0,-0.17540739967746652,0.5916817421222333,0.10862076566341641,-0.779324380116702
0,-0.18350939323385126,0.6032748064921024,0.12532753134774383,-0.7659483144006132
0,-0.1882012193120195,0.6123066286969491,0.1357493673350631,-0.7557995784408561
0,-0.19045616142720986,0.6259037059007798,0.14534910944575027,-0.7421890850028786
0,-0.18945085428324224,0.6298369439597081,0.14828934613311479,-0.7385283120221314
0,-0.18225155299611018,0.6440598612521253,0.15742003265766258,-0.7260786457901511
0,-0.17776802047251952,0.6521618787113437,0.15679991762701653,-0.7200674973119766
0,-0.17255392357875943,0.6579052249986559,0.15283510075956794,-0.7169569654817899
0,-0.16799589801737938,0.6616971300959711,0.14861482364110032,-0.7154354761026424
0,-0.16069287320883263,0.665728281643865,0.13886042572500235,-0.7153330956183057
0,-0.14879837823591416,0.6690835162682727,0.12546873469841346,-0.7172474381310994
0,-0.135256508509632,0.6724154169789409,0.10812311286360737,-0.7196336403889863
0,-0.12329982948802998,0.6755756564540003,0.08862722648400508,-0.7214845107004877
0,-0.10896775343087496,0.6773923079214844,0.067101454469106,-0.7244053317647265
0,-0.09309128986079118,0.678797789915043,0.05726613272442655,-0.7261461025174588
0,-0.08384759827525153,0.6772460392743934,0.051064858690523796,-0.7291774562872441
0,-0.08085419576043698,0.6674840131074757,0.050239746854467776,-0.7385144948542791
0,-0.0876531393365733,0.6458688570772297,0.05058237758041163,-0.7567111534135789
0,-0.09644387685453801,0.6186368921366661,0.051446008460910145,-0.7780361704433758
0,-0.10678062017900838,0.5854727046229777,0.05678576739460153,-0.8016202267389766
0,-0.11371495941796964,0.565227267320702,0.06861682313644557,-0.8141736767203929
0,-0.120549794149858,0.5594694654320894,0.08309811438776382,-0.8158163811574006
0,-0.12310854681144541,0.5731160803018986,0.0979801518373082,-0.8042276630701657
0,-0.12179202119930163,0.5802787501562121,0.100874206715326,-0.7989165601668845
0,-0.10786823662124709,0.6063263111921842,0.09631999091669342,-0.7819560775606962
0,-0.09688212088486677,0.6156349195429636,0.08228789220437059,-0.7777121596636772
0,-0.0845649209008068,0.6189924548286582,0.0678837836257464,-0.7778746087505909
0,-0.06851476234647538,0.6204168499680485,0.049186538447286744,-0.7797238896249773
0,-0.05089711948271867,0.620480980792949,0.03292847414746226,-0.7818750228092095
0,-0.033923815154765044,0.6219555135091828,0.019727100041880163,-0.7820686386148035
0,-0.01869287381825308,0.6255888654372185,0.011303875944795132,-0.7798470172399286
0,-0.002952155448436564,0.6333684566621276,0.01046717798700349,-0.7737739470081887
0,0.00947038519463756,0.643889998088259,0.014559014168194976,-0.7649209222348525
0,0.020802821234402986,0.6606392025950424,0.02211612372368718,-0.7500893038130291
0,0.028403063842135482,0.6778091903876629,0.030066656019344003,-0.7340735409931455
0,0.03496663748039582,0.6951210195924664,0.04138636305866373,-0.7168481508219305
0,0.04110468985747826,0.7128889156650374,0.0554442479080739,-0.6978722904425679
0,0.04289095594597888,0.7306967971315864,0.07048657108605394,-0.6776977201202702
0,0.04233041819559463,0.7472733926171756,0.0877848337701689,-0.6573312980086575
0,0.041975788158787435,0.7587809711639242,0.10188013486598424,-0.6419578717701572
0,0.03856019615048306,0.7704123831439794,0.12023476788552992,-0.6249171719218182
0,0.030199880091251387,0.7780942648913927,0.13728315323600607,-0.6122177864315744
0,0.00933777441670543,0.779464661437255,0.1455478172283923,-0.6092318773993189
0,0.00039794274974391347,0.7801273457136724,0.14652823215382163,-0.6082192394960753
0,-0.0015221343106757107,0.7831490130724268,0.14816763503414437,-0.6039218975655817
0,0.004129583363331672,0.7895905569161917,0.14816604692297505,-0.5954632830907732
0,0.01046062760454138,0.7956587086833019,0.14209501405436303,-0.5887502030126446
0,0.01790577186483023,0.799611783247853,0.13696143946236858,-0.5844158994461984
0,0.024646971654277657,0.8005703279843798,0.13252376365913268,-0.5838810913232886
0,0.024116627881331114,0.7976058481911146,0.12835065909154417,-0.5888712996077602
0,0.018336733913380754,0.792552365840853,0.12454975900853085,-0.5966673018696212
0,0.011395552036289258,0.7883193978736964,0.12316682403746523,-0.6027044066425641
0,0.005029559080963992,0.784789410704677,0.12184203880101498,-0.6076469385770564
0,0.0015724645658810085,0.7815636171708212,0.12015827611529385,-0.6121420001527849
0,-0.00029327239999463444,0.7777151061568223,0.11654180496749678,-0.6177193014158617
0,0.0005514968913827561,0.7741530939730803,0.11068826911832373,-0.6232453690342797
0,0.0019346872752775642,0.7714983893454873,0.10117671826689094,-0.6281319637649465
0,0.008125100405671087,0.7709833525998709,0.0900382657892121,-0.6304060306270335
0,0.020383276582847366,0.7728009655606658,0.07897656397714117,-0.6293853287189133
0,0.038645877971129526,0.7755398135670328,0.0689746902211922,-0.6263281773935636
0,0.05717551882593975,0.7777600582239749,0.06322767388668082,-0.6227539748032953
0,0.08122617736745616,0.7802255920805368,0.05456612833863107,-0.617796787957803
0,0.09707057368173835,0.7785667529727973,0.04622394647453653,-0.6182834800177123
0,0.1051729770946986,0.7723032356604336,0.04237876583806862,-0.6250523156372635
0,0.10974238645758314,0.7649216341229892,0.03368792262760842,-0.633811191234619
0,0.10909164616627103,0.7543050335248049,0.020788494224937865,-0.6470631867474272
0,0.11883264227014846,0.7334888959041995,0.013780006995904443,-0.6690911403714194
0,0.12022517624552174,0.7235069095785805,0.010793353674386127,-0.6796816624753419
0,0.11940654744998502,0.6983370717186024,-0.0014496537332997254,-0.7057374222709291
0,0.12668654515718172,0.6738510434602932,0.0033145501807081874,-0.7279177867456674
0,0.12410633563619157,0.6514916004292237,-0.0014224523197099528,-0.7484345586987041
0,0.11809833609372211,0.6269411607432106,-0.007152187553249785,-0.7700301358979746
0,0.11404358003859903,0.5974524614917872,-0.001534174909134953,-0.7937520169528595
0,0.10534939615034085,0.5687580980332843,0.0037025019511918575,-0.8157217798561107
0,0.09550811641637783,0.5454131229221896,0.0039171894216122995,-0.8326988535298312
0,0.08988784344273382,0.5233291961159195,0.014196912648537058,-0.8472574436174226
0,0.07747047483962695,0.505675498503045,0.026821999082178763,-0.8588196528416518
0,0.06499940879676891,0.4885082815277612,0.038509501744906034,-0.869282321234145
0,0.048749629656888956,0.4680436798440522,0.022635363060281775,-0.8820692873609669
0,0.04520656021398832,0.43626169409605753,0.002899322215389344,-0.898678860944636
0,0.04682788949206171,0.4019251414405402,-0.011150542150997908,-0.9144063619931021
0,0.053691934061626374,0.3696160536825471,-0.016046989591191465,-0.9274932038575393
0,0.058677103045018,0.3414474290831811,-0.017413481257676475,-0.9379058702349713
0,0.06825311628431169,0.3182825248544354,-0.01580439864460154,-0.9454036003068998
0,0.0828372759195941,0.3005021978496547,-0.005649704542952226,-0.950160247350059
0,0.0932350066024834,0.29615344866849225,0.012138859094643503,-0.9505014552779361
0,0.10289453614308437,0.3018159018520125,0.032020258355341606,-0.94725634274784
0,0.11567643427658829,0.31636959357942523,0.047589857322302115,-0.9403533635243118
0,0.15078655439669758,0.3284083591186639,0.07620847923789925,-0.9293027667915368
0,0.18406979231277154,0.3279968195222015,0.08761175407729778,-0.9224210418722856
0,0.19151185841533006,0.317454424635188,0.09331534023533829,-0.924033626900348
0,0.18955013650130148,0.2966494203409109,0.08473605147551314,-0.9321425152540136
0,0.19307703317210784,0.2523156921200524,0.0728080020436856,-0.9453872463757074
0,0.17954401719932456,0.20702840983373474,0.06661778179749721,-0.9594088047115396
0,0.16107879938861452,0.18705092248186206,0.06288247459207748,-0.9670115651714739
0,0.1382278528563135,0.17629633884152057,0.0366390961675385,-0.9738943670839435
0,0.11857974464824192,0.15470136119914263,0.008483836770158635,-0.980782523047769
0,0.10291215365587451,0.11232452179532769,-0.012887995190494786,-0.9882439931582334
0,0.10459576937675849,0.06790750266504948,-0.04642151387526756,-0.9911071279936436
0,0.11859996761258543,0.04541001999574441,-0.07372303633216468,-0.9891596896761646
0,0.12139465812329046,0.03621544582625176,-0.09753458138258236,-0.9871366591801055
0,0.12013095951070596,0.017073051387741667,-0.11367259167790927,-0.9860809324718616
0,0.11349526766972694,0.014724080956777397,-0.13346677576039453,-0.9844230012675851
0,0.09470205096766324,0.02299868761657241,-0.16171483057150166,-0.9820136941426346
0,0.08610039808966533,0.022803787464224175,-0.18479489336303645,-0.9787326274897715
0,0.07964438544260755,0.022126972599568615,-0.19900584248323877,-0.9765059362894748
0,0.07149144587258952,0.021728871348655997,-0.21590770157386144,-0.9735505604323037
0,0.058780630231001434,0.023490964127740453,-0.2362525324795029,-0.9696276362661168
0,0.03725836235867648,0.02814692467508441,-0.255164874596378,-0.9657693574751166
0,0.01840176911343483,0.035493279869689344,-0.28094156878175286,-0.95889177538867
0,-0.0031687610087260897,0.05474951190403869,-0.32568158468259367,-0.943887681505895
0,-0.054427278189507065,0.09996552549186027,-0.4001864748809569,-0.9093378637362307
0,-0.10335588764641927,0.11648644380282032,-0.46112636484855474,-0.8735622156094841
0,-0.15939729432139493,0.13461245373126182,-0.5337230303460894,-0.8195191985192628
0,-0.21369954071370162,0.16917661921070437,-0.6292291185363807,-0.7278615899998563
0,-0.21846838560862364,0.19458526662794143,-0.6978137551488466,-0.6538073887820177
0,-0.21707795874748803,0.2209300044183648,-0.7610764891720803,-0.5699383042077676
0,-0.20920419607225035,0.23125961705471387,-0.8185856109126458,-0.482358986100851
0,-0.19473522542592675,0.2391203746911881,-0.8673807945943617,-0.3905767473297831
0,-0.17393337695163277,0.2526449096644772,-0.9027565099930202,-0.3015765469462964
0,-0.15244900949401055,0.24298441051518155,-0.9272884609709815,-0.24052855527141356
0,-0.1374763340234745,0.2384974089248151,-0.9439435874164605,-0.1821805348959072
0,-0.12969259548244527,0.22686287960843002,-0.9538865280166288,-0.1476941305576465
0,-0.12281954658512859,0.20424962567436025,-0.9640221502364532,-0.1177231635745169
0,-0.11590744499392015,0.18347699173015192,-0.9717798573839058,-0.09244223322459859
0,-0.10858768115101904,0.16400466914297007,-0.9776301886237936,-0.07450099524808702
0,-0.10261690783695511,0.1395855078810136,-0.9822255200534,-0.07224045937983346
0,-0.10096233385767184,0.10543569104181721,-0.9871248079185587,-0.06537993414110459
0,-0.09905007971774578,0.09402859019385115,-0.9885732555462877,-0.06380144475385481
0,-0.09646360828827168,0.07105644534333595,-0.9910471021034242,-0.05891854770428033
0,-0.08943627668739594,-0.006794055518236488,-0.99410698784893,0.06087930626935609
0,-0.0933193522663522,0.017069152018123767,-0.9954648724982198,-0.007059048383031678
0,-0.08943627668739594,-0.006794055518236488,-0.99410698784893,0.06087930626935609
0,-0.08018146757040846,-0.029499359078761996,-0.9882671733066621,0.12660455851452423
0,-0.0691281403632703,-0.0477641498005015,-0.9797312760487579,0.18184199992197564
0,-0.06095701221978777,-0.06867237138708494,-0.9733245979552438,0.21025597514594938
0,-0.08371689544124788,-0.0780964751589219,-0.9786250308298464,0.1708375574009225
0,-0.09927178956203053,-0.1025534819840401,-0.9755152749734359,0.16732556117820954
0,-0.1114467799033925,-0.14954921955971703,-0.9623972187760965,0.19749997334247632
0,-0.1312055028845578,-0.1814046029524778,-0.9571094572469802,0.1838993553247414
0,-0.14095726295882263,-0.191966256986802,-0.9582606834688886,0.15816595308527398
0,-0.15278922389102848,-0.20396442782851137,-0.958349872552727,0.12891658939615688
0,-0.16714853671492425,-0.21422807563645596,-0.9569309589649361,0.10222934049287723
0,-0.1720093050266847,-0.20676032607975556,-0.9600500978266275,0.07724491055540933
0,-0.178179969894316,-0.19030956569242585,-0.9642264440152185,0.047974286823127495
0,-0.19173169406614726,-0.18297085398272644,-0.9638466851429313,0.027571572721561438
0,-0.21822473414170393,-0.1402870114030432,-0.9635897840264774,0.064747571075615
0,-0.23336792080105023,-0.08764551982600034,-0.9633187343346619,0.09937148723497173
0,-0.24326171720840245,-0.03174420749213361,-0.966451953144757,0.07607012879047942
0,-0.2455133115918448,-0.02447071416019815,-0.9652496033308444,0.08612549709199369
0,-0.3184385335891243,-0.0007318707573452528,-0.9406893667767149,0.11704648616693371
0,-0.3886026420426602,0.022349798696866534,-0.9133276559746482,0.1196706560838049
0,-0.4524092197245233,0.04057376528499379,-0.8831754275642253,0.11696508720808155
